control_1	control_2	control_3	heat_1	heat_2	heat_3
YBL066C	9.91530465795437	9.95041970851956	9.82978474957282	9.9653540644451	10.0686956746921	9.86690497741185
YBL067C	10.7516011697661	10.6782609847614	10.7594089882861	10.6961836425717	10.8148823709999	10.8664741267716
YBL068W	10.5020186139737	10.394106885822	10.3875284313015	9.6418950648777	9.85059917185348	9.98394869363894
YBL068W-A	5.5648802333815	5.54404525917332	4.92233764329836	4.50843857374578	4.40471869291701	4.32404112498991
YBL069W	10.6051320932586	10.5510109985851	10.2113432967319	10.1275569152176	10.4049131534318	10.277890115479
YBL071W-A	8.29268376935743	8.22001727912982	8.50904234862423	8.21528780492785	8.21312017201112	8.00811250706476
YBL072C	15.0911146809229	14.9784294754224	15.1803990396516	11.310577327224	11.6322818355863	12.4533851833988
YBL074C	7.93617472588401	7.7735027120219	7.73819737230509	8.02961673123994	8.03316979963639	8.25091569851491
YBL075C	10.540215808265	10.2495347382073	10.7934637007955	15.1630886632695	15.2636210461941	15.0044120075539
YBL076C	14.1374316047364	14.1437337778165	14.0524402020465	12.1193085556042	12.522062205733	12.7255005492102
YBL078C	7.90319922198728	7.69705338226656	7.88074313696151	10.2777549209006	9.95305180686193	9.98302323777217
YBL079W	11.580655614079	11.5788650709482	11.3514384565122	10.9267374617158	10.9365006580874	10.92636261623
YBL080C	8.99116441853405	9.16129482629759	8.91991555247826	9.25434802875587	9.2015471628829	9.10977423920612
YBL081W	10.8385692142291	10.9998393087129	10.7129802796156	10.2184628181639	10.6132538109907	10.5993594251025
YBL082C	10.2624460469744	10.3978794380537	10.4059086901614	8.22568511766739	8.5233911402224	8.53871933483634
YBL083C	7.10957948306475	7.22775490826926	7.32053267720779	5.4834543561325	5.52725856232464	5.40518680411597
YBL084C	9.98347990417345	10.13822090408	10.086350258257	10.3353673855788	10.3774018141673	10.239232476071
YBL085W	11.4263375636461	11.3610127590887	11.5178810508297	11.1645424464135	11.0016871778108	11.1766671525938
YBL086C	9.81211230799084	9.56942102977906	10.2322673214084	10.6088738402076	10.2416003172571	10.2414587975706
YBL087C	13.7168313452016	13.72590017317	13.785609638694	9.92036197564236	10.3719624692513	11.0545095571083
YBL088C	10.4451461517269	10.4815607484774	10.1572275051383	10.0793515932707	10.0330674806682	10.1940905678764
YBL089W	9.91380565213227	10.0046135734849	9.63485713209897	10.0451601330118	10.06583466247	9.93902719318773
YBL090W	8.78942446059223	8.77316722267436	8.76619151509802	9.04681610084692	8.8968797334964	9.03368812405946
YBL091C	12.2859645159416	12.1843015805284	12.2915016961928	11.847115106698	11.7360084477828	11.9818525717734
YBL091C-A	8.17044239504876	8.1339948057155	7.99441829459279	9.61292688531694	9.2537463068527	9.22529734353932
YBL092W	14.5397960974628	14.3251026879183	14.6444107577257	10.5466498673922	10.8723484521565	11.9219820758463
YBL093C	10.0244770462113	9.81721060700488	10.030240690118	10.4469587920832	10.4303040443318	10.2892898961305
YBL095W	8.95085397367013	9.07196120857423	8.88285634562742	9.27399483760633	9.25326492092896	9.08010709065855
YBL097W	8.63074678534161	8.50992427997793	8.57525327340884	8.17951033787348	8.19398399874347	8.38417445478914
YBL098W	10.0851500516153	10.6452173774974	10.1348298623513	9.28442175191629	9.24152433006358	9.37483054609788
YBL099W	13.0432579758849	13.4131956018302	12.9990089543799	12.9607469625368	13.0155418828731	12.8020588099453
YBL101C	10.5428865208735	10.8283255261191	10.6294383764506	11.9153247592463	11.7813185998443	11.6408750696793
YBL102W	10.4156292996933	10.4482868531389	10.4042186787763	10.8408620987074	10.8489851270317	10.7373185831979
YBL103C	9.88788987646258	9.80780172114735	9.89701312815881	9.70277977710754	9.82450913237386	9.79454659804793
YBL104C	10.1973968203937	10.0475437824163	10.0721085182181	10.2292563484209	10.2875030564119	10.394463688473
YBL105C	11.2328336976104	11.2161676406793	11.1032394042229	11.2729702748928	11.2408530834332	11.2574394730346
YBL106C	9.16386380079319	8.93762117970182	9.03956473617993	8.16775036765918	7.93922476680326	8.01189155003927
YBL107C	9.06156888077737	8.76693289328087	8.84835311785644	9.3766616470812	9.30143143164431	9.44727933287604
YBL111C	6.9911558506098	3.72599128331638	7.54792318134608	3.46243799872147	6.0500852344257	7.17726331251135
YBL112C	5.09517545665917	5.24968938682582	4.61372767709743	4.56251492116739	5.0061816275447	4.8271432213049
YBL113C	9.85194253709069	9.9823723703334	10.1077252907807	9.91754572313418	9.72566528269997	9.89651769116098
YBR001C	11.0852723264722	11.0718453893165	11.2928593254793	11.5455494768216	11.5035181596401	11.5477574628563
YBR002C	10.0848665091853	10.1310387258354	10.2358467853104	9.91615329935806	9.91854353075022	9.81820224730452
YBR003W	10.6859475125631	10.9160685036094	10.808211661867	11.3457862856952	11.3446015900853	11.0777791336414
YBR004C	9.56370603599225	9.46129102428949	9.2276702112258	9.75321222229763	9.58150695602285	9.14002042384853
YBR005W	9.29914663640252	8.99520761805907	8.66754109930771	10.0912638750086	10.2385949577208	9.41372718910668
YBR006W	9.76900001626267	9.66907643182278	9.23298845313452	11.4806829440766	11.39288274501	11.019893962967
YBR007C	9.97378565386087	9.8740611057661	9.98362610959173	10.2184153058631	10.0641083724738	10.1201592685517
YBR008C	9.94378961858434	10.1259652234035	10.0135883215474	9.29731968041743	9.42940757891197	9.44287700657821
YBR009C	12.4898606474911	12.459794555482	12.481405474131	11.3438750197714	11.0041926179807	11.044282791763
YBR010W	12.1769133068373	12.2929929215142	12.3044834418094	11.2978236472947	10.9750588965332	11.0532598775511
YBR011C	14.6471616217698	14.5931399737221	14.5703254673225	13.8862622996505	13.8865845504234	13.9559736061981
YBR012C	6.7821219898745	6.79189260749624	6.56018337773987	6.12122568978436	6.00279995164935	6.78733454885319
YBR013C	5.9451140289211	6.59509498550456	6.42059393242973	7.55179269972649	7.39731187406098	7.05588248535041
YBR014C	9.65239226909859	9.51933784965523	9.79288361279534	10.0629505780624	9.88721206404636	10.1209911238885
YBR015C	12.1915146563098	12.4079114020162	12.2286850049745	11.7784148463424	11.9601375580125	11.804428692773
YBR016W	10.3828438829001	10.2716215992346	10.0570964838124	10.8617485201172	10.5871768220158	10.4014813706071
YBR017C	12.0607956202792	12.0666991753445	11.9150436135797	11.5536504312574	11.6629917570086	11.7125138942601
YBR018C	7.04426709627134	6.95384369358648	6.99422901916529	8.39958615073121	8.10846563654759	7.87468189867244
YBR019C	5.73298131891041	5.78275619107113	5.95407472809614	6.55459046264657	6.81673517633323	6.45741486850297
YBR020W	8.08780491002297	8.31275141227029	8.30901565873874	7.8138066119636	7.83205521997592	7.86569247295374
