baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YCR024C-B	1107.2670121464	-1.42604167258764	0.158711166767568	-8.98513760330472	2.58410739207439e-19	2.19177575882514e-18
YCR028C-A	2022.24719081165	-1.01001027960775	0.134494962134051	-7.50965139200582	5.92850225243455e-14	3.5075965465015e-13
YCR031C	17600.1144587519	-3.15190617517788	0.199607688739613	-15.7905048401693	3.61673741394089e-56	2.23545152925496e-54
YCR034W	2993.48568153735	-2.15733953359471	0.152112773795065	-14.1825007839329	1.1758055318691e-45	4.21772995548524e-44
YCR036W	2215.56431558657	1.17272677700909	0.108705674131556	10.7880916647446	3.91841501520215e-27	5.18587499734042e-26
YCR045C	22.6522247111083	2.15620324603008	0.458094361197096	4.70689759287907	2.51515176060853e-06	7.00528846075531e-06
YCR047C	503.307440453967	-1.30562351475255	0.187677461096587	-6.95674114048581	3.48233959987043e-12	1.74116979993521e-11
YCR051W	1289.72973145488	-1.20847132292826	0.143876928026211	-8.39934059968325	4.48992743147696e-17	3.39225986695463e-16
YCR053W	10997.3928390518	-1.05404018564783	0.133667988408256	-7.8855094491923	3.13254883735938e-15	2.04725632677818e-14
YCR057C	2233.47441794154	-1.24258421663672	0.1958257139233	-6.34535777626939	2.21909122174937e-10	9.45228738882978e-10
YCR059C	883.280671118604	-1.51210372055026	0.121165479952355	-12.4796577469494	9.640012264753e-36	1.99318403054146e-34
YCR061W	1786.45962230828	1.68021385209856	0.161035581290983	10.4338049928389	1.73786588876456e-25	2.05641564434259e-24
YCR082W	1976.77693103752	1.5819831834452	0.112434036282735	14.0703227932423	5.78049517072309e-45	1.97556923187654e-43
YCR083W	820.281679497201	1.76381116314153	0.169184833846992	10.4253503286039	1.89958001583108e-25	2.23865312210518e-24
YCR087C-A	245.434692464534	-1.50076311100911	0.222503592883042	-6.74489383098626	1.53138961420316e-11	7.21018935050273e-11
YCR091W	805.840824405902	1.23054860026716	0.148683988403345	8.27626843671272	1.27095307638615e-16	9.20727852095205e-16
YCR098C	389.631679810024	1.85611910298189	0.218698988467099	8.48709505239037	2.11866470301687e-17	1.62179735501028e-16
YDL003W	779.232238629996	-1.37679008397311	0.17639418651055	-7.80518967891703	5.94121204510792e-15	3.79323538264583e-14
YDL014W	8161.01308834276	-1.99424107134364	0.165294384180513	-12.0647841802404	1.62086727706078e-33	2.93371927717231e-32
YDL021W	1243.72689184666	2.99294823592184	0.203655489305118	14.6961333874865	6.82469588818213e-49	2.93714689706209e-47
YDL022C-A	4.79214028670427	5.51407830625313	1.3609005000132	4.0517865238492	5.08280312645597e-05	0.000121227775717197
YDL024C	485.99291472459	3.54369637982932	0.223269756692884	15.8718154770232	9.93257538595072e-57	6.34156736179931e-55
YDL026W	11.5110312597053	4.27229808757825	0.980930300160904	4.35535336901863	1.32852424491992e-05	3.42293829844112e-05
YDL031W	1575.29355413155	-1.05465813964359	0.167453602664379	-6.29821110362971	3.0110026668917e-10	1.26859503224371e-09
YDL039C	4075.74731361777	1.29312817227398	0.574972958816634	2.24902432791865	0.0245109483161205	0.0385096294528556
